Organism,Protein,COG,Cat,Annotation
837,2918,COG3829,K T,"RocR-type transcriptional regulator, contains PAS, AAA-type ATPase, and DNA-binding Fis domains"
572,585,COG3830,T,"ACT domain, binds amino acids and other small ligands"
917,3268,COG3832,I,"Chalcone/flavanone-binding protein YndB, AHSA1/START/SRPBCC domain"
485,862,COG3835,K T,Sugar diacid utilization regulator CdaR
1469,5232,COG3839,G,"ABC-type sugar transport system, ATPase component MalK"
1742,5371,COG3842,E,"ABC-type Fe3+/spermidine/putrescine transport systems, ATPase component"
661,670,COG3852,T,"Signal transduction histidine kinase NtrB, nitrogen specific"
617,767,COG3865,R,"Glyoxalase superfamily enzyme, possible 3-demethylubiquinone-9 3-methyltransferase"
240,253,COG3895,M,Membrane-bound inhibitor of C-type lysozyme
334,395,COG3897,O,"Protein N-terminal and lysine N-methylase, NNT1/EFM7 family"
277,280,COG3898,S,"Uncharacterized protein HemY, contains HemY_N domain and TPR repeats (unrelated to HemY-type protoporphyrinogen oxidase)"
595,2614,COG3899,R,Predicted ATPase
266,359,COG3905,K,"Predicted transcriptional regulator, contains ribbon-helix-helix (RHH_1) domain"
203,213,COG3907,R,"Membrane-associated enzyme, PAP2 (acid phosphatase) superfamily"
382,489,COG3909,C,Cytochrome c556
192,223,COG3913,T U,Type VI secretion system regulator TagF/ImpM/SciT
411,707,COG3917,Q,2-hydroxychromene-2-carboxylate isomerase
296,412,COG3921,S,"Uncharacterized conserved protein, contains Extensin-like_C domain"
169,187,COG3930,R,"Regulator of flavohemoglobin expression, contains QEGLA motif"
300,372,COG3937,T Q,Polyhydroxyalkanoate synthesis regulator phasin
467,664,COG3938,E,Proline racemase/hydroxyproline epimerase
82,98,COG3946,U,Type IV secretion/DNA transfer system protein VirJ
175,257,COG3948,X,Phage-related baseplate assembly protein
266,368,COG3949,S,Uncharacterized membrane protein YkvI
641,691,COG3951,N,Rod binding protein domain
1558,1611,COG3956,R,"Uncharacterized conserved protein YabN, contains tetrapyrrole methylase and MazG-like pyrophosphatase domain"
132,136,COG3960,Q,Glyoxylate carboligase
122,132,COG3965,P,"Predicted Co/Zn/Cd cation transporter, cation efflux family"
313,334,COG3970,R,Fumarylacetoacetate (FAA) hydrolase family protein
571,1046,COG3971,Q,2-keto-4-pentenoate hydratase
584,805,COG3975,R,"Predicted metalloprotease, contains C-terminal PDZ domain"
531,667,COG4067,S,Uncharacterized conserved protein PA1768
567,747,COG4096,V,"Type I site-specific restriction endonuclease, part of a restriction-modification system"
331,675,COG4104,U,"Type VI secretion system tip component, contains N-terminal Pro-Ala-Ala-Arg (PAAR) domain"
1250,1476,COG4105,M,"Outer membrane protein assembly factor BamD, BamD/ComL family"
993,1561,COG4106,C,Trans-aconitate methyltransferase
1395,1405,COG4108,J,Peptide chain release factor RF-3
467,672,COG4115,V,"Toxin component of the Txe-Axe toxin-antitoxin module, Txe/YoeB family"
783,790,COG4121,J,tRNA U34 5-methylaminomethyl-2-thiouridine-forming methyltransferase MnmC
247,272,COG4125,Q,"Putative drug efflux pump, chlorhexidine efflux protein family"
405,655,COG4126,E,Asp/Glu/hydantoin racemase
187,195,COG4132,R,"ABC-type uncharacterized transport system, permease component"
626,633,COG4133,O,"ABC-type transport system involved in cytochrome c biogenesis, ATPase component"
593,593,COG4137,R,"ABC-type uncharacterized transport system, permease component"
956,1348,COG4147,C,Na+(or H+)/acetate symporter ActP
701,751,COG4148,P,"ABC-type molybdate transport system, ATPase component ModC"
1283,1374,COG4149,P,"ABC-type molybdate transport system, permease component ModB"
344,551,COG4160,E,"ABC-type arginine/histidine transport system, permease component"
1058,2343,COG4166,E,"ABC-type oligopeptide transport system, periplasmic component"
1432,3904,COG4172,Q,"ABC-type microcin C transport system, duplicated ATPase component YejF"
429,444,COG4174,Q,"ABC-type microcin C transport system, permease component YejB"
656,903,COG4175,E,"ABC-type proline/glycine betaine transport system, ATPase component"
653,915,COG4176,E,"ABC-type proline/glycine betaine transport system, permease component"
1291,5330,COG4177,E,"ABC-type branched-chain amino acid transport system, permease component"
339,487,COG4178,R,"ABC-type uncharacterized transport system, permease and ATPase components"
584,590,COG4181,Q,"Predicted ABC-type transport system involved in lysophospholipase L1 biosynthesis, ATPase component"
502,875,COG4188,R,Predicted dienelactone hydrolase
828,2623,COG4191,T,Signal transduction histidine kinase regulating C4-dicarboxylate transport system
115,142,COG4197,K,"DNA-binding transcriptional regulator YdaS, prophage-encoded, Cro superfamily"
979,3721,COG4206,H,Outer membrane cobalamin receptor protein BtuB
586,642,COG4208,P,"ABC-type sulfate transport system, permease component"
366,587,COG4215,E,"ABC-type arginine transport system, permease component"
1426,3907,COG4221,C,NADP-dependent 3-hydroxy acid dehydrogenase YdfG
375,524,COG4222,S,"Uncharacterized conserved protein, contains a phytase-like domain"
289,373,COG4226,R,"Predicted nuclease of the RNAse H fold, HicB family"
73,87,COG4228,X,Mu-like prophage DNA circulation protein
619,665,COG4230,E,Delta 1-pyrroline-5-carboxylate dehydrogenase
1152,1746,COG4232,O,Thiol:disulfide interchange protein DsbD
1045,1593,COG4235,O C,Cytochrome c-type biogenesis protein CcmH/NrfG
443,456,COG4239,Q,"ABC-type microcin C transport system, permease component YejE"
740,2492,COG4251,T,Bacteriophytochrome (light-regulated signal transduction histidine kinase)
104,364,COG4253,S,"Uncharacterized conserved protein, DUF2345 family"
458,462,COG4277,R,"Predicted DNA modification or repair protein, contains radical SAM and helix-hairpin-helix domains"
91,98,COG4287,R,PhoPQ-activated pathogenicity-related protein
281,302,COG4291,S,Uncharacterized membrane protein
363,386,COG4302,E,"Ethanolamine ammonia-lyase, small subunit"
363,389,COG4303,E,"Ethanolamine ammonia-lyase, large subunit"
17,17,COG4306,S,"Uncharacterized conserved protein, DUF2321 domain"
275,441,COG4311,E,Sarcosine oxidase delta subunit
233,373,COG4312,R,"Predicted dithiol-disulfide oxidoreductase, DUF899 family"
212,322,COG4313,M,Sphingosine uptake channel SphA-related outer membrane channel
288,359,COG4315,S,Predicted lipoprotein with conserved Yx(FWY)xxD motif (function unknown)
697,1317,COG4319,T,SnoaL-fold ligand-binding domain
336,480,COG4321,R,"Predicted DNA-binding protein, contains ribbon-helix-helix (RHH) domain"
218,224,COG4323,S,"Uncharacterized conserved protein, DUF962 domain"
143,144,COG4324,R,Predicted aminopeptidase
457,523,COG4325,S,"Uncharacterized membrane protein, DUF2254 family"
304,324,COG4335,L,3-methylpurine DNA glycosylase AlkC
398,402,COG4338,S,"Uncharacterized conserved protein, DUF2256 family"
93,105,COG4379,X,Mu-like prophage tail protein gpP
78,87,COG4381,X,Mu-like prophage protein gp46
81,92,COG4384,X,Mu-like prophage protein gp45
209,295,COG4385,X,Bacteriophage P2-related tail formation protein
86,105,COG4386,X,Mu-like prophage tail sheath protein gpL
516,575,COG4392,E,Branched-chain amino acid transport protein
197,198,COG4394,J,Elongation factor P Arg32-rhamnosyltransferase EarP
592,717,COG4395,I,"Predicted lipid-binding transport protein, Tim44 family"
130,135,COG4413,E,Urea transporter
399,455,COG4445,J,tRNA A37 isopentenyl-2-thiomethyl-A-37 hydroxylase MiaE
769,1968,COG4447,C,Photosystem II stability/assembly factor Ycf48
290,396,COG4454,R,"Uncharacterized copper-binding protein, cupredoxin-like subfamily"
149,149,COG4517,S,"Uncharacterized conserved protein, DUF1820 domain"
50,53,COG4519,S,Uncharacterized conserved protein
201,272,COG4520,M,Surface antigen
205,227,COG4521,P,"ABC-type taurine transport system, periplasmic component"
107,114,COG4525,P,"ABC-type taurine transport system, ATPase component"
351,368,COG4531,P,"ABC-type Zn2+ transport system, periplasmic component/surface adhesin ZnuA"
472,473,COG4535,P,"Mg2+ and Co2+ transporter CorC, contains CBS pair and CorC-HlyC domains"
689,698,COG4536,P,"Mg2+ and Co2+ transporter CorB, contains DUF21, CBS pair, and CorC-HlyC domains"
213,222,COG4539,I,2-hydroxy fatty acid dioxygenase MPO1 (alpha-oxidation of fatty acids)
180,260,COG4540,X,Phage P2 baseplate assembly protein gpV
425,491,COG4544,L,Translesion DNA synthesis-associated protein ImuA
477,510,COG4558,P,"ABC-type hemin transport system, periplasmic component"
247,256,COG4559,P,"ABC-type hemin transport system, ATPase component"
553,1539,COG4566,K T,"DNA-binding response regulator, FixJ family, consists of REC and HTH domains"
494,559,COG4567,K T,"DNA-binding response regulator, ActR/RegA family, consists of REC and Fis-type HTH domains"
94,95,COG4574,O,Serine protease inhibitor ecotin
370,556,COG4575,J,"Membrane-anchored ribosome-binding protein ElaB, inhibits growth in stationary phase, YqjD/DUF883 family"
253,258,COG4579,T,Isocitrate dehydrogenase kinase/phosphatase
260,415,COG4583,E,Sarcosine oxidase gamma subunit
1302,7940,COG4585,T,Signal transduction histidine kinase ComP
168,169,COG4590,R,"ABC-type uncharacterized transport system, permease component"
2002,6487,COG4591,M,"ABC-type transport system involved in lipoprotein release, permease component LolC"
406,485,COG4597,E,"ABC-type amino acid transport system, permease component"
274,347,COG4598,E,"ABC-type histidine transport system, ATPase component"
326,332,COG4604,P,"ABC-type enterochelin transport system, ATPase component"
332,341,COG4605,P,"ABC-type enterochelin transport system, permease component"
330,338,COG4606,P,"ABC-type enterochelin transport system, permease component"
359,400,COG4607,P,"ABC-type enterochelin transport system, periplasmic component"
209,277,COG4615,P,"ABC-type siderophore export system, fused ATPase and permease components"
298,454,COG4618,U,"ABC-type protease/lipase transport system, ATPase and permease components"
638,954,COG4623,T M,Membrane-bound lytic murein transglycosylase MltF
400,913,COG4625,S,"Uncharacterized conserved protein, contains a C-terminal beta-barrel porin domain"
441,615,COG4626,X,"Phage terminase-like protein, large subunit, contains N-terminal HTH domain"
354,390,COG4628,S,"Uncharacterized conserved protein, DUF2132 family"
409,434,COG4630,F,"Xanthine dehydrogenase, Fe-S cluster and FAD-binding subunit XdhA"
403,423,COG4631,F,"Xanthine dehydrogenase, molybdopterin-binding subunit XdhB"
511,896,COG4637,R,Predicted ATPase
619,1565,COG4638,P R,"Phenylpropionate dioxygenase or related ring-hydroxylating dioxygenase, large terminal subunit"
288,391,COG4642,S,Uncharacterized conserved protein
232,325,COG4643,X,Uncharacterized domain associated with phage/plasmid primase
186,348,COG4644,X,"Transposase and inactivated derivatives, TnpA family"
456,632,COG4653,X,Predicted phage phi-C31 gp36 major capsid-like protein
611,730,COG4657,C,"Na+-translocating ferredoxin:NAD+ oxidoreductase RNF, RnfA subunit"
639,802,COG4658,C,"Na+-translocating ferredoxin:NAD+ oxidoreductase RNF, RnfD subunit"
649,811,COG4659,C,"Na+-translocating ferredoxin:NAD+ oxidoreductase RNF, RnfG subunit"
556,1220,COG4666,R,"TRAP-type uncharacterized transport system, fused permease components"
379,595,COG4668,G,"Mannitol/fructose-specific phosphotransferase system, IIA domain"
477,595,COG4674,R,"ABC-type uncharacterized transport system, ATPase component"
119,151,COG4678,M X,Muramidase (phage lambda lysozyme)
373,530,COG4679,V X,"Phage-related protein gp49, toxin component of the Tad-Ata toxin-antitoxin system"
268,374,COG4680,J V,"mRNA-degrading endonuclease (mRNA interferase) HigB, toxic component of the HigAB toxin-antitoxin module"
377,384,COG4681,S,"Uncharacterized conserved protein YaeQ, suppresses RfaH defect"
221,244,COG4694,J,Wobble nucleotide-excising tRNase
565,780,COG4695,X,Phage portal protein BeeE
338,347,COG4728,S,"Uncharacterized conserved protein, DUF1653 family"
242,264,COG4729,S,"Uncharacterized conserved protein, DUF1850 family"
74,91,COG4734,V,Antirestriction protein ArdA
408,435,COG4736,C,"Cbb3-type cytochrome oxidase, subunit 3"
257,300,COG4757,R,Predicted alpha/beta hydrolase
143,167,COG4766,E,"Ethanolamine utilization protein EutQ, cupin superfamily (function unknown)"
1868,3964,COG4770,I,"Acetyl/propionyl-CoA carboxylase, alpha subunit"
982,8454,COG4771,P,Outer membrane receptor for ferrienterochelin and colicins
417,607,COG4772,P,Outer membrane receptor for Fe3+-dicitrate
545,1493,COG4773,P,Outer membrane receptor for ferric coprogen and ferric-rhodotorulic acid
571,1250,COG4774,P,Outer membrane receptor for monomeric catechols
1402,2872,COG4775,M,Outer membrane protein assembly factor BamA
1572,6170,COG4783,M O,"Outer membrane protein chaperone/metalloprotease BepA/YfgC, contains M48 and TPR domains"
1028,1982,COG4786,N,Flagellar basal body rod protein FlgG
373,419,COG4787,N,Flagellar basal body rod protein FlgF
575,651,COG4796,U,Type II secretion system/DNA uptake membrane channel ComE/HofQ
1395,3025,COG4799,I,"Acetyl-CoA carboxylase, carboxyltransferase component"
286,293,COG4807,S,"Uncharacterized conserved protein YehS, DUF1456 family"
151,166,COG4829,Q,Muconolactone delta-isomerase
105,112,COG4875,O,"Protein kinase association domain CaMKII_AD, NTF2-like superfamily"
611,1656,COG4886,U,"Type III secretion system effector YopM, contains leucine-rich repeats"
271,303,COG4913,S,"Uncharacterized conserved protein, contains a C-terminal ATPase domain"
145,155,COG4924,V,"Nuclease subunit JetD of Wadjet anti-plasmid defense system, contains DUF3322 and JetD_C (DUF2220) domains"
278,310,COG4928,R,"Predicted P-loop ATPase, KAP-like"
270,517,COG4935,O,Regulatory P domain of the subtilisin-like proprotein convertases and other proteases
481,1071,COG4941,K,"Predicted RNA polymerase sigma factor, contains C-terminal TPR domain"
1359,1793,COG4942,D,"Septal ring factor EnvC, activator of murein hydrolases AmiA and AmiB"
123,183,COG4943,T,"Redox-sensing c-di-GMP phosphodiesterase, contains CSS-motif and EAL domains"
148,168,COG4944,S,"Uncharacterized conserved protein, DUF1109 domain"
1481,5489,COG4948,M R,L-alanine-DL-glutamate epimerase or related enzyme of enolase superfamily
580,615,COG4953,M,Membrane carboxypeptidase/penicillin-binding protein PbpC
351,405,COG4960,W,Flp/Tad pilus assembly peptidase CpaA/TadV
467,621,COG4966,N W,Type IV pilus minor pilin/pseudopilin PilW
477,849,COG4968,N W,Type IV pilus minor pilin/pseudopilin PilE
375,493,COG4969,N W,Type IV pilus major pilin PilA
613,1054,COG4970,N W,Type IV pilus assembly protein FimT or FimU
958,1246,COG4972,N U,Type II secretion system/type IV pilus alignment protein GspL/PulL/PilM
796,1068,COG4973,L,Site-specific recombinase XerC
2201,13250,COG4974,L,Site-specific tyrosine recombinase XerD
1202,4311,COG4977,K,"Transcriptional regulator GlxA, contains an amidase domain and an AraC-type DNA-binding HTH domain"
158,158,COG4985,P,"ABC-type phosphate transport system, auxiliary component PstA"
1958,3078,COG4992,E,Acetylornithine/succinyldiaminopimelate/putrescine aminotransferase
500,1286,COG4993,G,"Glucose dehydrogenase, PQQ-dependent"
1063,6295,COG5001,T,"Cyclic di-GMP metabolism protein, combines GGDEF and EAL domains with a 6TM membrane domain"
1792,5121,COG5002,T,Sensor histidine kinase WalK
136,181,COG5004,X,P2-like prophage tail protein X
463,598,COG5006,E,Threonine/homoserine efflux transporter RhtA
562,568,COG5007,T,"Acid stress protein IbaG/YrbA, BolA-like family"
1183,1422,COG5009,M,Membrane carboxypeptidase/penicillin-binding protein
1412,3975,COG5010,W,"Flp/Tad pilus assembly pilotin TadD, contains TPR repeats"
597,687,COG5016,C,Pyruvate/oxaloacetate carboxyltransferase
195,224,COG5018,T,"3'-5' exonuclease KapD, inhibitor of KinA-controlled sporulation"
16,18,COG5108,K,Mitochondrial DNA-directed RNA polymerase
406,583,COG5266,R,"Uncharacterized protein, contains GH25 family domain"
16,17,COG5275,R,BRCT domain type II
653,1247,COG5278,T,Extracytoplasmic sensor domain CHASE3 (specificity unknown)
288,375,COG5281,X,Phage-related minor tail protein
196,263,COG5283,X,Phage-related tail protein
710,1736,COG5285,Q,"Ectoine hydroxylase-related dioxygenase, phytanoyl-CoA dioxygenase (PhyH) family"
104,178,COG5301,X,Phage-related tail fiber protein
148,259,COG5309,G,"Exo-beta-1,3-glucanase, GH17 family"
199,208,COG5322,R,Predicted amino acid dehydrogenase
233,254,COG5339,S,"Uncharacterized conserved protein YdgA, DUF945 family"
441,513,COG5343,T,Anti-sigma-K factor RskA
197,205,COG5345,S,"Uncharacterized conserved protein, DUF2333 domain"
175,210,COG5377,X,"Phage-related protein, predicted endonuclease"
116,122,COG5383,R,"Uncharacterized metalloenzyme YdcJ, glyoxalase superfamily"
310,311,COG5389,S,"Uncharacterized conserved protein, DUF721 domain"
181,189,COG5393,S,Uncharacterized membrane protein YqjE
136,139,COG5404,D,"Cell division inhibitor SulA, prevents FtsZ ring assembly"
1205,1247,COG5405,O,"ATP-dependent protease HslVU (ClpYQ), peptidase subunit"
376,471,COG5424,H,Pyrroloquinoline quinone (PQQ) biosynthesis protein C
140,366,COG5430,W,"Fimbrial subunit ScuA/B, ScuA/B/SCPU domain"
74,130,COG5435,M,Lipoprotein DcrB/SciW involved in osmoprotection and C1/C6 phage infection
114,115,COG5446,P,Putative cobalt transporter membrane subunit CbtA
143,185,COG5455,P,Periplasmic regulator RcnB of Ni and Co efflux
249,647,COG5457,S,"Uncharacterized conserved protein YjiS, DUF1127 family"
194,198,COG5460,S,"Uncharacterized conserved protein, DUF2164 family"
491,820,COG5470,S,"Uncharacterized conserved protein, DUF1330 family"
187,191,COG5477,S,"Small integral membrane protein, DUF2160 family"
498,643,COG5487,S,"Uncharacterized membrane protein YtjA, UPF0391 family"
328,481,COG5499,V,"Antitoxin component HigA of the HigAB toxin-antitoxin module, contains an N-terminal HTH domain"
297,467,COG5501,S,Sulfur oxidation protein SoxY
246,365,COG5511,X,Phage capsid protein
132,161,COG5513,O,"Chagasin-like inhibitor of cysteine peptidase, I42 family"
225,506,COG5517,Q,"3-phenylpropionate/cinnamic acid dioxygenase, small subunit"
240,358,COG5525,X,"Phage terminase, large subunit GpA"
153,162,COG5528,S,"Uncharacterized membrane protein, DUF2269 family"
202,283,COG5545,X,Predicted P-loop ATPase and inactivated derivatives
209,266,COG5553,R,Predicted metal-dependent enzyme of the double-stranded beta helix superfamily
179,181,COG5567,S,Small periplasmic lipoprotein YifL (function unknown)
315,531,COG5569,P,Periplasmic Cu and Ag efflux protein CusF
250,303,COG5572,S,"Uncharacterized membrane protein, DUF2282 family"
485,595,COG5581,N,"Cyclic di-GMP-binding flagellar brake protein FlgZ/YcgR, contains PilZNR(YcgR) and PilZ domains"
123,136,COG5583,S,Uncharacterized conserved protein YezD
130,132,COG5589,S,"Uncharacterized conserved protein, DUF2390 domain"
232,330,COG5606,V,"Antitoxin component of the Tad-Ata toxin-antitoxin system, contains XRE-type HTH domain"
550,593,COG5607,S,"CHAD domain, binds inorganic polyphosphates"
234,269,COG5608,V,"Dessication stress tolerance protein, LEA/WHy domain"
319,411,COG5614,X,Phage head-tail adaptor
158,163,COG5615,P,Membrane protein involved in copper transport
73,106,COG5620,S,"Uncharacterized conserved protein, DUF1851 domain"
291,307,COG5621,R,"Predicted lipocalin, contains AttH/CrtC domain"
161,162,COG5626,S,"Uncharacterized protein Ssr3000, DUF2288 family"
106,120,COG5628,R,Predicted acetyltransferase
241,334,COG5642,V,"Predicted antitoxin component of a toxin-antitoxin system, contains Xre-type HTH domain"
89,141,COG5645,S,Uncharacterized conserved protein YceK
464,871,COG5653,N,"Acetyltransferase involved in cellulose biosynthesis, CelD/BcsL family"
283,398,COG5654,V,"Predicted toxin component of a toxin-antitoxin system, contains RES domain"
534,743,COG5662,K,Transmembrane transcriptional regulator RsiW (anti-sigma-W factor)
460,831,COG5713,C,"Photosystem I assembly protein Ycf3, contains TPR repeats"
579,1406,COG5749,H,Chlorophyllide a oxygenase/letal leaf spot protein
1006,3435,COG5809,D T,Sporulation sensor histidine kinase E
1226,2311,COG5821,D,"Stage II sporulation protein SpoIIQ, clostridial version, metallopeptidase M23 family"
966,2208,COG5905,K D,Spore transcriptional regulator GerE (stand-alone HTH domain)
244,249,COG6001,U,Type II secretion system protein GspN/PulN
319,446,COG6004,U,PilJ domain of type IV pilus chemoreceptor PilJ
66,69,COG6040,U,Type VI secretion system-associated protein TagO/VasI/EvfG
14,20,COG6042,U,"TSS6-secreted immunity protein Tse6 of the Tse6-Tsi6 toxin-antitoxin module,"
11,17,COG6043,U,"TSS6-secreted toxin Tsi6 of the Tse6-Tsi6 toxin-antitoxin module, membrane-bound NAD(P) hydrolase, contains N-terminal PAAR domain"
83,109,COG6058,U,"Curli fimbriae curlin subunit, CsgA/CsgB family"
89,92,COG6060,U,Type VIII secretion (curli biogenesis) periplasmic component CsgE
111,117,COG6061,U,Type VIII secretion (curli biogenesis) assembly factor CsgF
45,63,COG6077,U,Type X secretion system holin-like component ChiW
